date,value
2019-03-21,12075
2019-03-22,9341
2019-03-23,12943
2019-03-24,12764
2019-03-25,10293
2019-03-26,11452
2019-03-27,11502
2019-03-28,11153
2019-03-29,10110
2019-03-30,9893
2019-03-31,10596
2019-04-01,11960
2019-04-02,11131
2019-04-03,9959
2019-04-04,11255
2019-04-05,6835
2019-04-06,11555
2019-04-07,8012
2019-04-08,9588
2019-04-09,8603
2019-04-10,8316
2019-04-11,11186
2019-04-12,9156
2019-04-13,10057
2019-04-14,9510
2019-04-15,10064
2019-04-16,9510
2019-04-17,7805
2019-04-18,10468
2019-04-19,8609
2019-04-20,7264
2019-04-21,8550
2019-04-22,10797
2019-04-23,9951
2019-04-24,8448
2019-04-25,8385
2019-04-26,8358
2019-04-27,11177
2019-04-28,9086
2019-04-29,9089
2019-04-30,9757
2019-05-01,8756
2019-05-02,8111
2019-05-03,8140
2019-05-04,8246
2019-05-05,8246
2019-05-06,9125
2019-05-07,8279
2019-05-08,9062
2019-05-09,8055
2019-05-10,8218
2019-05-11,5701
2019-05-12,9176
2019-05-13,8472
2019-05-14,9237
2019-05-15,4550
2019-05-16,10521
2019-05-17,7839
2019-05-18,9332
2019-05-19,6752
2019-05-20,8736
2019-05-21,6740
2019-05-22,7262
2019-05-23,10317
2019-05-24,7804
2019-05-25,8309
2019-05-26,9110
2019-05-27,8682
2019-05-28,8292
2019-05-29,8576
2019-05-30,11052
2019-05-31,8130
2019-06-01,8476
2019-06-02,9533
2019-06-03,9638
2019-06-04,9778
2019-06-05,9165
2019-06-06,7074
2019-06-07,10456
2019-06-08,7172
2019-06-09,8964
2019-06-10,7752
2019-06-11,8638
2019-06-12,9169
2019-06-13,9222
2019-06-14,9406
2019-06-15,10901
2019-06-16,9575
2019-06-17,8806
2019-06-18,10325
2019-06-19,10665
2019-06-20,7836
2019-06-21,10099
2019-06-22,10297
2019-06-23,9173
2019-06-24,11256
2019-06-25,9500
2019-06-26,9907
2019-06-27,9625
2019-06-28,9928
2019-06-29,8670
2019-06-30,8334
2019-07-01,12053
2019-07-02,9199
2019-07-03,9102
2019-07-04,7783
2019-07-05,9676
2019-07-06,8929
2019-07-07,12561
2019-07-08,11875
2019-07-09,9910
2019-07-10,13509
2019-07-11,12054
2019-07-12,10554
2019-07-13,8012
2019-07-14,13826
2019-07-15,9473
2019-07-16,9228
2019-07-17,12490
2019-07-18,14249
2019-07-19,13039
2019-07-20,12109
2019-07-21,12199
2019-07-22,12560
2019-07-23,12494
2019-07-24,11967
2019-07-25,11798
2019-07-26,11638
2019-07-27,10847
2019-07-28,11450
2019-07-29,9789
2019-07-30,11733
2019-07-31,10692
2019-08-01,10579
2019-08-02,12141
2019-08-03,13615
2019-08-04,13063
2019-08-05,10090
2019-08-06,10798
2019-08-07,13122
2019-08-08,10819
2019-08-09,11730
2019-08-10,12658
2019-08-11,10832
2019-08-12,12114
2019-08-13,10376
2019-08-14,11243
2019-08-15,12332
2019-08-16,10018
2019-08-17,12437
2019-08-18,11861
2019-08-19,12520
2019-08-20,12096
2019-08-21,13432
2019-08-22,11910
2019-08-23,11207
2019-08-24,11829
2019-08-25,12291
2019-08-26,11653
2019-08-27,11595
2019-08-28,10654
2019-08-29,10649
2019-08-30,9708
2019-08-31,13434
2019-09-01,9784
2019-09-02,10385
2019-09-03,10293
2019-09-04,12165
2019-09-05,10672
2019-09-06,12457
2019-09-07,10083
2019-09-08,11157
2019-09-09,9749
2019-09-10,13254
2019-09-11,9182
2019-09-12,10906
2019-09-13,11220
2019-09-14,10881
2019-09-15,10087
2019-09-16,10077
2019-09-17,10209
2019-09-18,9904
2019-09-19,11160
2019-09-20,12579
2019-09-21,9181
2019-09-22,8130
2019-09-23,9591
2019-09-24,12717
2019-09-25,8582
2019-09-26,11439
2019-09-27,11412
2019-09-28,8662
2019-09-29,9937
2019-09-30,11138
2019-10-01,8659
2019-10-02,8802
2019-10-03,8281
2019-10-04,7696
2019-10-05,8071
2019-10-06,7320
2019-10-07,8769
2019-10-08,7746
2019-10-09,8894
2019-10-10,6692
2019-10-11,8904
2019-10-12,9457
2019-10-13,6017
2019-10-14,8813
2019-10-15,9794
2019-10-16,6829
2019-10-17,10250
2019-10-18,8710
2019-10-19,7329
2019-10-20,8078
2019-10-21,8787
2019-10-22,8184
2019-10-23,8717
2019-10-24,6947
2019-10-25,8239
2019-10-26,6326
2019-10-27,7879
2019-10-28,6921
2019-10-29,7118
2019-10-30,9483
2019-10-31,9311
2019-11-01,8736
2019-11-02,6702
2019-11-03,7644
2019-11-04,9492
2019-11-05,8223
2019-11-06,10855
2019-11-07,8565
2019-11-08,8348
2019-11-09,7774
2019-11-10,8336
2019-11-11,8025
2019-11-12,9094
2019-11-13,9430
2019-11-14,7379
2019-11-15,6768
2019-11-16,6207
2019-11-17,9068
2019-11-18,7185
2019-11-19,5978
2019-11-20,9082
2019-11-21,11663
2019-11-22,8723
2019-11-23,9797
2019-11-24,8951
2019-11-25,8797
2019-11-26,10084
2019-11-27,8700
2019-11-28,9437
2019-11-29,9572
2019-11-30,8455
2019-12-01,10519
2019-12-02,9191
2019-12-03,8568
